Dataset,Fold,Seed,Band Selection,Band Param,Int. Attention Stages,Fusion Mechanism,Input Bands,OA,AA,Kappa,Run Time (s),Status
IndianPines,1,42,SWGMF,30.0,[],AdaptiveWeight,30,0.9415853658536585,0.8846135220484217,0.9332563601320824,24.992777109146118,Success
IndianPines,1,42,SWGMF,30.0,[1],AdaptiveWeight,30,0.930609756097561,0.8960141277017972,0.9206666180489412,37.46752309799194,Success
IndianPines,1,42,E-FDPC,2.5,[],AdaptiveWeight,9,0.9763414634146341,0.9198890623931832,0.9730078282388409,27.288687467575073,Success
IndianPines,1,42,E-FDPC,2.5,[1],AdaptiveWeight,9,0.9813414634146341,0.944720587998717,0.9787182085216595,21.610699892044067,Success
IndianPines,1,42,None,N/A,[],AdaptiveWeight,200,0.9817073170731707,0.9513202210447502,0.979142369151815,38.38386869430542,Success
IndianPines,1,42,None,N/A,[1],AdaptiveWeight,200,0.9828048780487805,0.9702036185351631,0.9803831082919101,50.49262356758118,Success
IndianPines,2,43,SWGMF,30.0,[],AdaptiveWeight,30,0.9517073170731707,0.8985821924494386,0.9448525122285886,29.415317058563232,Success
IndianPines,2,43,SWGMF,30.0,[1],AdaptiveWeight,30,0.9492682926829268,0.9170622315564603,0.9420270505534588,37.0035719871521,Success
IndianPines,2,43,E-FDPC,2.5,[],AdaptiveWeight,9,0.978170731707317,0.9563461485046707,0.9750909482460909,27.96108627319336,Success
IndianPines,2,43,E-FDPC,2.5,[1],AdaptiveWeight,9,0.9817073170731707,0.9567629962719123,0.979129759144525,35.794477701187134,Success
IndianPines,2,43,None,N/A,[],AdaptiveWeight,200,0.9880487804878049,0.9768740220208051,0.9863740921777064,37.95234560966492,Success
IndianPines,2,43,None,N/A,[1],AdaptiveWeight,200,0.9892682926829268,0.9780069617327142,0.9877635539455238,44.552472829818726,Success
IndianPines,3,44,SWGMF,30.0,[],AdaptiveWeight,30,0.9575609756097561,0.9347011029365837,0.9515783882618113,29.582557439804077,Success
IndianPines,3,44,SWGMF,30.0,[1],AdaptiveWeight,30,0.9519512195121951,0.9334949384133675,0.9451948032297001,37.090261936187744,Success
IndianPines,3,44,E-FDPC,2.5,[],AdaptiveWeight,9,0.984390243902439,0.9602175338271044,0.9821965993774678,25.59728717803955,Success
IndianPines,3,44,E-FDPC,2.5,[1],AdaptiveWeight,9,0.9865853658536585,0.97032956686764,0.9846969319842588,36.167701959609985,Success
IndianPines,3,44,None,N/A,[],AdaptiveWeight,200,0.9876829268292683,0.9756390319327475,0.9859548165668858,35.46801257133484,Success
IndianPines,3,44,None,N/A,[1],AdaptiveWeight,200,0.9889024390243902,0.9833662369227985,0.9873489344605294,43.75373411178589,Success
IndianPines,4,45,SWGMF,30.0,[],AdaptiveWeight,30,0.9451219512195121,0.9139108073598325,0.9373590802112903,29.686562061309814,Success
IndianPines,4,45,SWGMF,30.0,[1],AdaptiveWeight,30,0.9526829268292683,0.9228521981726938,0.9459986549564403,37.440563917160034,Success
IndianPines,4,45,E-FDPC,2.5,[],AdaptiveWeight,9,0.980609756097561,0.9664502701148457,0.9779070844632766,22.14324402809143,Success
IndianPines,4,45,E-FDPC,2.5,[1],AdaptiveWeight,9,0.9824390243902439,0.9804876872145574,0.9799695893311193,35.53997087478638,Success
IndianPines,4,45,None,N/A,[],AdaptiveWeight,200,0.9831707317073171,0.9579354986396382,0.9808130830764339,37.88018488883972,Success
IndianPines,4,45,None,N/A,[1],AdaptiveWeight,200,0.9865853658536585,0.9835173469811499,0.9847065233544698,50.32113432884216,Success
IndianPines,5,46,SWGMF,30.0,[],AdaptiveWeight,30,0.9460975609756097,0.9306127543314932,0.9385322201724859,28.671225547790527,Success
IndianPines,5,46,SWGMF,30.0,[1],AdaptiveWeight,30,0.9469512195121951,0.9156079403606512,0.9394521853721165,33.08033537864685,Success
IndianPines,5,46,E-FDPC,2.5,[],AdaptiveWeight,9,0.979390243902439,0.962207505752557,0.9765067723492339,22.318635940551758,Success
IndianPines,5,46,E-FDPC,2.5,[1],AdaptiveWeight,9,0.980609756097561,0.9638077985548903,0.9778864031756468,18.87238907814026,Success
IndianPines,5,46,None,N/A,[],AdaptiveWeight,200,0.9812195121951219,0.9717815282120152,0.9785881829863919,37.84295916557312,Success
IndianPines,5,46,None,N/A,[1],AdaptiveWeight,200,0.9863414634146341,0.9819914943529265,0.9844295480791616,31.4079692363739,Success
IndianPines,6,47,SWGMF,30.0,[],AdaptiveWeight,30,0.9579268292682926,0.9586920575629048,0.9520023446065727,26.84722924232483,Success
IndianPines,6,47,SWGMF,30.0,[1],AdaptiveWeight,30,0.958170731707317,0.9451690724813739,0.9522330951588889,37.04030919075012,Success
IndianPines,6,47,E-FDPC,2.5,[],AdaptiveWeight,9,0.9835365853658536,0.9865304109370656,0.9812304862546883,28.135969877243042,Success
IndianPines,6,47,E-FDPC,2.5,[1],AdaptiveWeight,9,0.9852439024390244,0.9744901474154815,0.9831753936554312,25.36074733734131,Success
IndianPines,6,47,None,N/A,[],AdaptiveWeight,200,0.9875609756097561,0.98795776798475,0.9858169279102967,31.789794206619263,Success
IndianPines,6,47,None,N/A,[1],AdaptiveWeight,200,0.9858536585365854,0.9846616761973227,0.9838653780884541,50.24297094345093,Success
IndianPines,7,48,SWGMF,30.0,[],AdaptiveWeight,30,0.9492682926829268,0.9186462609103624,0.9421497300724925,27.186511754989624,Success
IndianPines,7,48,SWGMF,30.0,[1],AdaptiveWeight,30,0.9508536585365853,0.9360109428211708,0.9439333676085288,36.92976260185242,Success
IndianPines,7,48,E-FDPC,2.5,[],AdaptiveWeight,9,0.9758536585365853,0.9527830807501302,0.9724620723817026,27.92186665534973,Success
IndianPines,7,48,E-FDPC,2.5,[1],AdaptiveWeight,9,0.979390243902439,0.9689591205220058,0.9764972425048031,35.261802434921265,Success
IndianPines,7,48,None,N/A,[],AdaptiveWeight,200,0.9797560975609756,0.9739952158772816,0.9769264162530785,28.41251516342163,Success
IndianPines,7,48,None,N/A,[1],AdaptiveWeight,200,0.9862195121951219,0.9703630718560227,0.9842909310083323,50.54160833358765,Success
IndianPines,8,49,SWGMF,30.0,[],AdaptiveWeight,30,0.9486585365853658,0.9128394343380917,0.9414058207025242,29.71057963371277,Success
IndianPines,8,49,SWGMF,30.0,[1],AdaptiveWeight,30,0.9509756097560975,0.9299407141620155,0.9440562792066182,37.02072882652283,Success
