Fold,Seed,Band Selection,Band Param,Int. Attention Stages,Fusion Mechanism,Input Bands,OA,AA,Kappa,Run Time (s),Status
1,42,SWGMF,30.0,[],AdaptiveWeight,30,0.9981882999240255,0.994992828373412,0.997599202289801,93.78718280792236,Success
1,42,SWGMF,30.0,[1],AdaptiveWeight,30,0.9985973934895681,0.9963641981817788,0.9981414205976606,113.55879163742065,Success
1,42,E-FDPC,2.5,[],AdaptiveWeight,13,0.9985389515516334,0.9962880077651606,0.9980639377218448,104.36862277984619,Success
1,42,E-FDPC,2.5,[1],AdaptiveWeight,13,0.9986266144585354,0.9963829694200896,0.9981799955742375,83.46213841438293,Success
1,42,None,N/A,[],AdaptiveWeight,103,0.9986850563964701,0.9963884663328147,0.9982575861553831,141.69758343696594,Success
1,42,None,N/A,[1],AdaptiveWeight,103,0.9986850563964701,0.9964189851285197,0.9982573691451776,141.8267846107483,Success
2,43,SWGMF,30.0,[],AdaptiveWeight,30,0.9992986967447841,0.9985957944338119,0.9990707176693854,102.71278262138367,Success
2,43,SWGMF,30.0,[1],AdaptiveWeight,30,0.999035708024078,0.9981283493473195,0.9987222310024153,119.93866848945618,Success
2,43,E-FDPC,2.5,[],AdaptiveWeight,13,0.9989772660861435,0.9981444136533706,0.9986448924857718,115.07059025764465,Success
2,43,E-FDPC,2.5,[1],AdaptiveWeight,13,0.9995909064344574,0.9991720530964966,0.9994579359322016,99.41537928581238,Success
2,43,None,N/A,[],AdaptiveWeight,103,0.9992694757758167,0.9984880894720369,0.9990320164570531,116.67227268218994,Success
2,43,None,N/A,[1],AdaptiveWeight,103,0.9995324644965227,0.9990832785642275,0.9993804879187598,140.8328468799591,Success
3,44,SWGMF,30.0,[],AdaptiveWeight,30,0.9981882999240255,0.9965181824099206,0.9975990956722395,62.37085461616516,Success
3,44,SWGMF,30.0,[1],AdaptiveWeight,30,0.9984220676757641,0.997254535445947,0.9979089471014665,89.28691601753235,Success
3,44,E-FDPC,2.5,[],AdaptiveWeight,13,0.9986850563964701,0.9981096916459085,0.99825742118894,89.25166273117065,Success
3,44,E-FDPC,2.5,[1],AdaptiveWeight,13,0.9992694757758167,0.9986459247131703,0.9990319746659799,91.83346247673035,Success
3,44,None,N/A,[],AdaptiveWeight,103,0.9990941499620127,0.9984359345550514,0.9987995711944407,116.8894510269165,Success
3,44,None,N/A,[1],AdaptiveWeight,103,0.9993863596516861,0.9986861519089297,0.9991867943933254,83.58793020248413,Success
4,45,SWGMF,30.0,[],AdaptiveWeight,30,0.9990649289930454,0.9980292199691453,0.9987609952557595,98.5427405834198,Success
4,45,SWGMF,30.0,[1],AdaptiveWeight,30,0.9992694757758167,0.998397678295202,0.9990319893842268,117.90467262268066,Success
4,45,E-FDPC,2.5,[],AdaptiveWeight,13,0.9993863596516861,0.9988261027327427,0.9991869140313053,104.35207462310791,Success
4,45,E-FDPC,2.5,[1],AdaptiveWeight,13,0.9993863596516861,0.9984897430861062,0.9991869079285356,79.73220086097717,Success
4,45,None,N/A,[],AdaptiveWeight,103,0.9995909064344574,0.9993778600193609,0.9994579313692653,138.59746432304382,Success
4,45,None,N/A,[1],AdaptiveWeight,103,0.9996785693413593,0.9994986063491953,0.999574094464434,118.96353507041931,Success
5,46,SWGMF,30.0,[],AdaptiveWeight,30,0.9980714160481562,0.9950849720292749,0.9974443092347264,77.8344042301178,Success
5,46,SWGMF,30.0,[1],AdaptiveWeight,30,0.9978668692653848,0.9959831283947638,0.9971732807346508,104.70824670791626,Success
5,46,E-FDPC,2.5,[],AdaptiveWeight,13,0.9989188241482088,0.9981928241354213,0.9985673033286654,87.57550859451294,Success
5,46,E-FDPC,2.5,[1],AdaptiveWeight,13,0.9985681725206008,0.9973314370091971,0.9981026391781019,77.12787675857544,Success
5,46,None,N/A,[],AdaptiveWeight,103,0.9990941499620127,0.9980721249429609,0.9987995461544377,65.25627756118774,Success
5,46,None,N/A,[1],AdaptiveWeight,103,0.9993863596516861,0.9987458906951839,0.9991868587773857,96.00350618362427,Success
6,47,SWGMF,30.0,[],AdaptiveWeight,30,0.9986850563964701,0.9972214421728781,0.9982576556539425,103.69997763633728,Success
6,47,SWGMF,30.0,[1],AdaptiveWeight,30,0.9988311612413068,0.9976749339447453,0.9984512850278859,88.92335367202759,Success
6,47,E-FDPC,2.5,[],AdaptiveWeight,13,0.9989772660861435,0.9977480721950206,0.998644854629096,64.67079281806946,Success
6,47,E-FDPC,2.5,[1],AdaptiveWeight,13,0.9992986967447841,0.9986184848033433,0.9990707534469847,76.40057682991028,Success
6,47,None,N/A,[],AdaptiveWeight,103,0.9991525918999474,0.9984873920028614,0.9988771830667117,122.59234070777893,Success
6,47,None,N/A,[1],AdaptiveWeight,103,0.9990941499620127,0.9981158581946615,0.9987997707680529,69.82336497306824,Success
7,48,SWGMF,30.0,[],AdaptiveWeight,30,0.9970779031032669,0.994390026095146,0.9961280473719363,84.01578736305237,Success
